Date,Startup Name,Vertical,Sub-Vertical,City,Type,Amount (in USD),Remarks
18/05/2015,TheBetterIndia.com,Online News Media,,Bangalore,Seed Funding,N/A,Pre-Series Bridge
18/05/2015,Awaaz De,Enterprise Communication Platform,,Ahmedabad,Seed Funding,N/A,
19/05/2015,Chaayos,Offline Tea Chain,,New Delhi,Private Equity,1000000,Series A
19/05/2015,Akosha,Business Messaging App,,New Delhi,Private Equity,16000000,Series B
19/05/2015,Cooey,Health Mobile App,,Bangalore,Seed Funding,470000,
19/05/2015,MeetUniv,Online Ed-Tech Platform,,Noida,Seed Funding,1000000,
19/05/2015,Inspirock,Online Travel Planning,,,Private Equity,N/A,
19/05/2015,Crown-it,Hyperlocal Mobile Marketplace,,Gurgaon,Private Equity,5500000,Series A
19/05/2015,Trucksfirst,Trucking Logistic Operations,,Gurgaon,Private Equity,10000000,Series A
20/05/2015,Lookup,B2C Messaging App,,Bangalore,Private Equity,3000000,Series A
21/05/2015,SunTerrace,Rooftop Solar Plants,,New Delhi,Private Equity,N/A,
22/05/2015,Nudgespot,Customer Engagement Platform,,Bangalore,Seed Funding,625000,
22/05/2015,CarDekho,Online Car Portal,,Jaipur,Private Equity,N/A,1% stake
22/05/2015,EveningFlavors,Online Table Reservation,,Bangalore,Seed Funding,500000,
25/05/2015,Razorpay,Online Payment Gateway,,Bangalore,Seed Funding,N/A,
25/05/2015,ZenParent,Parents focused Web Content,,Bangalore,Seed Funding,500000,
25/05/2015,Newgen Payments,Payments Solution Provider,,New Delhi,Seed Funding,N/A,
26/05/2015,UrbanPro,On-demand Service marketplace,,Bangalore,Private Equity,2000000,Series A
26/05/2015,Goodbox,On-Demand Business messaging,,Bangalore,Seed Funding,200000,
26/05/2015,Renderlogy,Online Home Dcor,,Hyderabad,Private Equity,1000000,Series A
27/05/2015,Postman,API Workflow platform,,Bangalore,Seed Funding,1000000,Series A
27/05/2015,Casa2inns,Affordable Hotel Booking Online,,New Delhi,Private Equity,5000000,Series A
27/05/2015,FleetRover,Logistics Intelligence,,Goa,Seed Funding,180000,
28/05/2015,TheKarrier,Last Mile Logistics,,Bangalore,Seed Funding,240000,
28/05/2015,Zoomcar,Self-driven Car rental,,Bangalore,Private Equity,5000000,Series B Interim Funding
28/05/2015,Truweight,Weight Management Service,,Hyderabad,Private Equity,N/A,Series A
30/05/2015,Ather Energy,Electric Scooter Manufacturer,,Bangalore,Private Equity,12000000,Series A
1/6/2015,Vyomo,Beauty and Wellness Platform,,New Delhi,Seed Funding,N/A,
1/6/2015,Veeba Foods,Healthy Food Manufacturer,,New Delhi,Private Equity,6000000,Series B
1/6/2015,Truebil,Used Car Marketplace,,Mumbai,Seed Funding,500000,
1/6/2015,Meritnation,Online Learning Platform,,New Delhi,Private Equity,4000000,Series C
1/6/2015,Eattreatonline,Healthy Food Online Community,,New Delhi,Seed Funding,350000,
1/6/2015,CredR,Used two-wheeler Marketplace,,Mumbai,Seed Funding,N/A,
1/6/2015,Glamrs,Online Fashion Video Portal,,Mumbai,Private Equity,1000000,Pre-Series A
1/6/2015,Proviera,Probiotic Technology Products Manufacturer,,Chennai,Private Equity,550000,
1/6/2015,Arth DesignBuild,Architectural Design & Consulting,,Hyderabad,Seed Funding,500000,
2/6/2015,Saama,Big Data & Analytics Services,,Pune,Private Equity,35000000,Series A
2/6/2015,AllIzHealth,Preventive Healthcare Services,,Pune,Seed Funding,350000,
2/6/2015,Karma Healthcare,Tech-enabled Rural Healthcare Services,,Udaipur,Private Equity,N/A,Series A
3/6/2015,Entropy Innovations,Engineering Innovations,,Mumbai,Seed Funding,N/A,
3/6/2015,Propstack,Real Estate Intelligence Platform,,Mumbai,Private Equity,3000000,Series A
3/6/2015,MyTaxiIndia,Online Car Rental Affiliates,,New Delhi,Seed Funding,100000,
