host	logname	time	method	url	response	bytes	referer	useragent
www-a1.proxy.aol.com	-	804571400	GET	/cgi-bin/imagemap/countdown?107,144	302	96		
dd11-054.compuserve.com	-	804571404	GET	/images/ksclogo-medium.gif	200	5866		
ix-or10-06.ix.netcom.com	-	804571404	GET	/software	302	0		
pipe6.nyc.pipeline.com	-	804571405	GET	/shuttle/missions/sts-71/movies/movies.html	200	3092		
ix-or10-06.ix.netcom.com	-	804571406	GET	/software/	200	689		
port2.electrotex.com	-	804571407	GET	/images/NASA-logosmall.gif	200	786		
isdn6-34.dnai.com	-	804571410	GET	/shuttle/missions/sts-68/sts-68-patch-small.gif	200	17459		
midcom.com	-	804571411	GET	/history/apollo/apollo-13/apollo-13.html	200	18114		
isdn6-34.dnai.com	-	804571411	GET	/shuttle/missions/sts-68/mission-sts-68.html	200	49087		
midcom.com	-	804571413	GET	/history/apollo/apollo-13/apollo-13-patch-small.gif	200	12859		
ix-or10-06.ix.netcom.com	-	804571414	GET	/software/winvn/readme.txt	200	5736		
isdn6-34.dnai.com	-	804571416	GET	/shuttle/resources/orbiters/endeavour.html	200	6168		
dd11-054.compuserve.com	-	804571416	GET	/shuttle/missions/missions.html	200	8677		
isdn6-34.dnai.com	-	804571416	GET	/shuttle/resources/orbiters/endeavour-logo.gif	200	5052		
isdn6-34.dnai.com	-	804571417	GET	/shuttle/resources/orbiters/orbiters-logo.gif	200	1932		
isdn6-34.dnai.com	-	804571417	GET	/images/ksclogosmall.gif	200	3635		
teleman.pr.mcs.net	-	804571418	GET	/msfc/astro_home3.gif	200	73728		
isdn6-34.dnai.com	-	804571419	GET	/shuttle/missions/sts-68/sts-68-patch-small.gif	200	17459		
slip1.yab.com	-	804571420	GET	/images/landing-747.gif	200	110875		
isdn6-34.dnai.com	-	804571420	GET	/shuttle/missions/sts-68/mission-sts-68.html	200	49087		
bos1d.delphi.com	-	804571423	GET	/history/apollo/apollo-13/apollo-13.html	200	18114		
205.189.154.54	-	804571425	GET	/cgi-bin/imagemap/countdown?108,176	302	110		
charger.execpc.com	-	804571427	GET	/history/history.html	200	1502		
ix-ftw-tx1-24.ix.netcom.com	-	804571428	GET	/shuttle/countdown/countdown.html	200	3985		
midcom.com	-	804571428	GET	/images/ksclogosmall.gif	200	3635		
midcom.com	-	804571429	GET	/history/apollo/images/footprint-logo.gif	200	4209		
isdn6-34.dnai.com	-	804571431	GET	/facilities/lc39a.html	200	7008		
remote27.compusmart.ab.ca	-	804571431	GET	/shuttle/missions/sts-71/images/KSC-95EC-0868.jpg	200	61848		
205.189.154.54	-	804571431	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
isdn6-34.dnai.com	-	804571431	GET	/images/lc39a-logo.gif	200	13116		
port2.electrotex.com	-	804571431	GET	/shuttle/countdown/video/livevideo.jpeg	200	44467		
isdn6-34.dnai.com	-	804571432	GET	/images/kscmap-tiny.gif	200	2537		
isdn6-34.dnai.com	-	804571432	GET	/images/ksclogosmall.gif	200	3635		
ix-ftw-tx1-24.ix.netcom.com	-	804571432	GET	/shuttle/countdown/count.gif	200	40310		
lmsmith.tezcat.com	-	804571432	GET	/shuttle/missions/sts-71/images/index71.gif	200	73728		
charger.execpc.com	-	804571433	GET	/history/apollo/images/apollo-small.gif	200	9630		
teleman.pr.mcs.net	-	804571436	GET	/shuttle/missions/missions.html	304	0		
teleman.pr.mcs.net	-	804571437	GET	/images/launchmedium.gif	304	0		
teleman.pr.mcs.net	-	804571437	GET	/images/NASA-logosmall.gif	304	0		
teleman.pr.mcs.net	-	804571437	GET	/images/KSC-logosmall.gif	304	0		
129.188.154.200	-	804571438	GET	/	200	7074		
www-a1.proxy.aol.com	-	804571441	GET	/cgi-bin/imagemap/countdown?99,113	302	111		
129.188.154.200	-	804571441	GET	/images/ksclogo-medium.gif	200	5866		
link097.txdirect.net	-	804571442	GET	/images/shuttle-patch-small.gif	200	4179		
smyth-pc.moorecap.com	-	804571443	GET	/history/apollo/images/footprint-small.gif	200	18149		
gayle-gaston.tenet.edu	-	804571444	GET	/shuttle/missions/sts-71/images/KSC-95EC-0915.gif	200	29634		
129.188.154.200	-	804571445	GET	/images/MOSAIC-logosmall.gif	200	363		
129.188.154.200	-	804571445	GET	/images/USA-logosmall.gif	200	234		
129.188.154.200	-	804571445	GET	/images/WORLD-logosmall.gif	200	669		
isdn6-34.dnai.com	-	804571450	GET	/images/dual-pad.gif	200	141308		
www-a1.proxy.aol.com	-	804571450	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12040		
charger.execpc.com	-	804571452	GET	/history/apollo/apollo.html	200	3258		
smyth-pc.moorecap.com	-	804571453	GET	/history/apollo/images/footprint-small.gif	200	18149		
205.212.115.106	-	804571453	GET	/shuttle/missions/sts-71/images/index71.gif	200	235862		
charger.execpc.com	-	804571454	GET	/history/apollo/images/footprint-small.gif	200	18149		
charger.execpc.com	-	804571455	GET	/history/apollo/images/apollo-logo.gif	200	3047		
unicomp6.unicomp.net	-	804571456	GET	/ksc.html	200	7074		
205.189.154.54	-	804571457	GET	/shuttle/missions/sts-71/images/KSC-95EC-0747.gif	200	32187		
dd11-054.compuserve.com	-	804571457	GET	/images/launchmedium.gif	200	11853		
news.ti.com	-	804571458	GET	/ksc.html	200	7074		
ix-ftw-tx1-24.ix.netcom.com	-	804571458	GET	/images/NASA-logosmall.gif	200	786		
unicomp6.unicomp.net	-	804571459	GET	/images/ksclogo-medium.gif	200	5866		
charger.execpc.com	-	804571460	GET	/images/ksclogosmall.gif	200	3635		
news.ti.com	-	804571461	GET	/images/ksclogo-medium.gif	200	5866		
ix-ftw-tx1-24.ix.netcom.com	-	804571462	GET	/images/KSC-logosmall.gif	200	1204		
teleman.pr.mcs.net	-	804571463	GET	/shuttle/missions/sts-67/mission-sts-67.html	200	21408		
129.94.144.152	-	804571465	GET	/shuttle/technology/sts-newsref/stsref-toc.html	200	84907		
link097.txdirect.net	-	804571466	GET	/shuttle/technology/sts-newsref/stsref-toc.html	200	84907		
unicomp6.unicomp.net	-	804571466	GET	/images/USA-logosmall.gif	200	234		
unicomp6.unicomp.net	-	804571466	GET	/images/WORLD-logosmall.gif	200	669		
onyx.southwind.net	-	804571467	GET	/shuttle/technology/sts-newsref/centers.html	200	71024		
ix-war-mi1-20.ix.netcom.com	-	804571467	GET	/shuttle/missions/sts-69/mission-sts-69.html	200	4325		
unicomp6.unicomp.net	-	804571467	GET	/images/MOSAIC-logosmall.gif	200	363		
129.188.154.200	-	804571467	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12040		
netport-27.iu.net	-	804571467	GET	/images/construct.gif	200	1414		
slip1.yab.com	-	804571468	GET	/history/history.html	200	1502		
ix-war-mi1-20.ix.netcom.com	-	804571468	GET	/shuttle/missions/sts-69/sts-69-patch-small.gif	200	8083		
teleman.pr.mcs.net	-	804571470	GET	/shuttle/missions/sts-67/sts-67-patch-small.gif	200	17083		
129.188.154.200	-	804571470	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
savvy1.savvy.com	-	804571470	GET	/shuttle/missions/missions.html	200	8677		
